Threads,Matrix Size,Runtime (s),Speedup
1,20000,2.465557,1.0
1,40000,9.819254666666666,1.0
2,20000,1.2716723333333335,1.9413526666666667
2,40000,5.028804666666667,1.9529503333333333
4,20000,0.6581619666666667,3.7495956666666665
4,40000,2.6055353333333335,3.77046
7,20000,0.4059663,6.103701666666667
7,40000,1.5253826666666666,6.4424779999999995
8,20000,0.35416336666666665,6.988625
8,40000,1.3335763333333333,7.368371333333333
16,20000,0.18954496666666668,13.082716666666666
16,40000,0.7019649333333333,14.042586666666667
20,20000,0.15098923333333333,16.385453333333334
20,40000,0.5653516,17.402273333333333
40,20000,0.09308494,26.52777
40,40000,0.3557207333333333,27.628686666666667
